Year,State,county_name,Rent,Pop,RentInc,PopInc,Class,Class2,,
2017,Montana,Lewis and Clark County,1111,"63,395",0.138319672,0.159620362,Urban,Urban,,
2017,Montana,Liberty County,960,"2,339",0.092150171,0.143145161,Rural,Rural,,
2017,Montana,Lincoln County,852,"19,687",-0.03291714,0.082055906,Rural,Urban,,
2017,Montana,McCone County,852,"1,734",-0.075921909,0.022542831,Rural,Rural,,
2017,Montana,Madison County,938,"7,691",0.061085973,0.089567966,Rural,Rural,,
2017,Montana,Meagher County,1020,"1,891",0.307692308,0.17641129,Rural,Rural,,
2017,Montana,Mineral County,935,"4,223",0.080924855,0.080552359,Rural,Rural,,
2017,Montana,Missoula County,1245,"109,299",0.176748582,0.153022188,Tourist,Tourist,,
2017,Montana,Musselshell County,960,"4,538",0.103448276,0.143145161,Rural,Rural,,
2017,Montana,Park County,1067,"15,636",0.124341412,0.052631579,Rural,Urban,,
2017,Montana,Petroleum County,1035,494,0.116504854,0.168260038,Rural,Rural,,
2017,Montana,Phillips County,960,"4,253",0.092150171,0.191532258,Rural,Rural,,
2017,Montana,Pondera County,991,"6,153",0.07483731,0.082055906,Rural,Rural,,
2017,Montana,Powder River County,852,"1,743",-0.075921909,0.143145161,Rural,Rural,,
2017,Montana,Powell County,991,"7,027",0.270512821,0.038461538,Rural,Rural,,
2017,Montana,Prairie County,960,"1,179",0.092150171,0.143145161,Rural,Rural,,
2017,Montana,Ravalli County,1014,"40,212",-0.036121673,0.046401515,Rural,Urban,,
2017,Montana,Richland County,987,"9,746",0.230673317,0.217312894,Rural,Rural,,
2017,Montana,Roosevelt County,959,"10,425",0.229487179,0.149342891,Rural,Rural,,
2017,Montana,Rosebud County,852,"9,233",0.092307692,0.157706093,Rural,Rural,,
2017,Montana,Sanders County,887,"11,413",0.114321608,0.2265625,Rural,Rural,,
2017,Montana,Sheridan County,941,"3,384",0.020607375,-0.00541028,Rural,Rural,,
2017,Montana,Silver Bow County,894,"34,200",0.121706399,0.230522946,Urban,Urban,,
2017,Montana,Stillwater County,975,"9,117",0.10419026,0.082055906,Rural,Rural,,
2017,Montana,Sweet Grass County,907,"3,651",-0.01626898,0.088367899,Rural,Rural,,
